Standnumber,latitude,longitude,airlinecode,neighbor1,neighbor2,size,flytampa
1A,N025-19-18.492,E055-31-25.427,ABY,1B,NONE,C,yes
1B,N025-19-17.475,E055-31-24.706,ABY,1A,1C,C,yes
1C,N025-19-16.322,E055-31-23.917,ABY,1B,NONE,C,yes
2,N025-19-18.555,E055-31-21.075,PAX,3,NONE,E,yes
3,N025-19-19.806,E055-31-18.899,PAX,2,4,E,yes
4,N025-19-20.997,E055-31-16.826,PAX,5,3,E,yes
5,N025-19-22.220,E055-31-14.683,PAX,6,4,E,yes
6,N025-19-23.425,E055-31-12.608,PAX,7,5,E,yes
7,N025-19-24.637,E055-31-10.515,PAX,8,6,E,yes
8,N025-19-25.831,E055-31-08.442,PAX,NONE,7,E,yes
9,N025-19-30.437,E055-31-05.817,LWC,NONE,10,C,yes
10,N025-19-29.109,E055-31-04.898,LWC,9,11,C,yes
11,N025-19-27.792,E055-31-03.965,LWC,NONE,10,C,yes
13,N025-19-31.697,E055-31-03.672,LWC,NONE,15,C,yes
14,N025-19-33.834,E055-30-59.966,LWC,NONE,16,C,yes
15,N025-19-30.390,E055-31-02.755,LWC,13,17,C,yes
16,N025-19-32.510,E055-30-59.034,LWC,14,18,C,yes
17,N025-19-29.056,E055-31-01.829,LWC,15,NONE,C,yes
18,N025-19-31.188,E055-30-58.092,LWC,NONE,16,C,yes
21,N025-19-35.044,E055-30-57.795,LWC,NONE,23,C,yes
22,N025-19-37.203,E055-30-53.960,LWC,NONE,24,C,yes
23,N025-19-33.725,E055-30-56.866,LWC,21,25,C,yes
24,N025-19-35.882,E055-30-53.036,LWC,22,26,C,yes
25,N025-19-32.376,E055-30-55.934,LWC,23,NONE,C,yes
26,N025-19-34.551,E055-30-52.099,LWC,24,NONE,C,yes
50,N025-19-36.265,E055-30-42.881,CLC,NONE,52,F,yes
52,N025-19-34.341,E055-30-41.531,CLC,50,54,F,yes
54,N025-19-32.617,E055-30-40.366,CLC,52,56,F,yes
56,N025-19-31.019,E055-30-39.242,CLC,54,58,F,yes
58,N025-19-29.343,E055-30-38.129,CLC,56,60,F,yes
60,N025-19-27.725,E055-30-36.989,CLC,58,62,F,yes
62,N025-19-26.057,E055-30-35.784,CLC,60,NONE,F,yes
51,N025-19-39.515,E055-30-37.800,CARGO1,NONE,53,F,yes
53,N025-19-37.499,E055-30-36.347,CARGO1,51,55,F,yes
55,N025-19-35.400,E055-30-34.929,CARGO1,53,57,F,yes
57,N025-19-33.363,E055-30-33.521,CARGO1,55,59,F,yes
59,N025-19-31.369,E055-30-32.102,CARGO1,57,61,F,yes
61,N025-19-29.370,E055-30-30.661,CARGO1,NONE,59,F,yes
