Standnumber,latitude,longitude,airlinecode,neighbor1,neighbor2,size,flytampa
A1,N025-14-42.138,E055-22-08.742,UAE,A2,D1,F,yes
A2,N025-14-44.209,E055-22-10.863,UAE,A1,A3,F,yes
A3,N025-14-43.000,E055-22-13.863,UAE,A2,A4,F,yes
A4,N025-14-41.295,E055-22-17.002,UAE,A3,A5,F,yes 
A5,N025-14-39.784,E055-22-19.722,UAE,A4,A6,F,yes 
A6,N025-14-38.331,E055-22-22.308,UAE,A5,A7,F,yes 
A7,N025-14-36.775,E055-22-25.044,UAE,A6,A8,F,yes 
A8,N025-14-35.307,E055-22-27.661,UAE,A7,A9,F,yes 
A9,N025-14-33.837,E055-22-30.268,UAE,A8,A10,F,yes 
A10,N025-14-31.742,E055-22-33.236,UAE,A9,D10,F,yes 
B1,N025-15-13.767,E055-21-01.193,PAX,B2,F2,C,yes 
B2,N025-15-13.010,E055-21-02.994,PAX,B1,B3,C,yes 
B3,N025-15-12.057,E055-21-04.689,PAX,B2,B4,C,yes 
B4,N025-15-10.814,E055-21-06.913,PAX,B3,B5,C,yes 
B5,N025-15-09.888,E055-21-08.571,PAX,B4,B6,C,yes 
B6,N025-15-08.946,E055-21-10.278,PAX,B5,B8,C,yes 
B8,N025-15-06.332,E055-21-14.474,PAX,B6,B9,E,yes 
B9,N025-15-05.139,E055-21-16.704,PAX,B8,B10,E,yes 
B10,N025-15-03.901,E055-21-18.903,PAX,B9,B11,E,yes 
B11,N025-15-02.531,E055-21-21.429,PAX,B10,B12,E,yes 
B12,N025-15-01.293,E055-21-23.647,PAX,B11,B14,E,yes 
B14,N025-14-58.628,E055-21-27.883,UAE,B12,B15,E,yes 
B15,N025-14-57.048,E055-21-29.857,UAE,B14,B16,E,yes 
B16,N025-14-55.809,E055-21-32.128,UAE,B15,B17,E,yes 
B17,N025-14-54.598,E055-21-34.352,UAE,B16,B18,E,yes 
B18,N025-14-53.369,E055-21-36.589,UAE,B17,NONE,C,yes 
B20,N025-14-50.520,E055-21-41.755,UAE,NONE,B21,C,yes 
B21,N025-14-49.177,E055-21-44.220,UAE,B20,B22,C,yes 
B22,N025-14-47.557,E055-21-46.919,UAE,B21,B23,C,yes 
B23,N025-14-46.365,E055-21-49.185,UAE,B22,B24,C,yes 
B24,N025-14-45.077,E055-21-51.417,UAE,B23,B25,E,yes 
B25,N025-14-43.950,E055-21-53.667,UAE,B24,B26,E,yes 
B26,N025-14-43.181,E055-21-56.051,UAE,B25,B27,E,yes 
B27,N025-14-44.897,E055-21-58.262,UAE,B26,F27,E,yes 
C18,N025-16-02.580,E055-20-31.181,LWC,NONE,C19,E,yes 
C19,N025-16-01.853,E055-20-32.498,LWC,C18,C20,E,yes 
C20,N025-16-01.110,E055-20-33.837,LWC,C19,C21,E,yes 
C21,N025-16-00.359,E055-20-35.190,LWC,C20,C22,E,yes 
C22,N025-15-59.638,E055-20-36.498,LWC,C21,C23,E,yes 
C23,N025-15-58.900,E055-20-37.823,LWC,C22,NONE,E,yes 
C24,N025-15-56.370,E055-20-28.173,CARGO,NONE,C25,E,yes 
C25,N025-15-54.898,E055-20-30.901,CARGO,C24,C26,E,yes 
C26,N025-15-53.406,E055-20-33.586,CARGO,C25,C27,E,yes 
C27,N025-15-51.947,E055-20-36.273,CARGO,C26,NONE,E,yes 
C28,N025-15-48.059,E055-20-40.177,CARGO,NONE,C29,E,yes 
C29,N025-15-46.644,E055-20-42.244,CARGO,C28,C30,E,yes 
C30,N025-15-45.602,E055-20-44.551,CARGO,C29,NONE,E,yes 
C31,N025-15-55.476,E055-20-23.973,CARGO,NONE,C32,E,yes 
C32,N025-15-54.316,E055-20-26.226,CARGO,C31,C33,E,yes 
C33,N025-15-53.103,E055-20-28.444,CARGO,C32,C34,E,yes 
C34,N025-15-51.904,E055-20-30.705,CARGO,C33,C35,E,yes 
C35,N025-15-50.672,E055-20-32.910,CARGO,C34,C36,E,yes 
C36,N025-15-49.419,E055-20-35.135,CARGO,C35,C37,E,yes 
C37,N025-15-45.773,E055-20-37.517,CARGO,C36,C38,E,yes 
C38,N025-15-44.787,E055-20-39.831,CARGO,C37,C39,E,yes 
C39,N025-15-43.396,E055-20-41.832,CARGO,C38,C40,E,yes 
C40,N025-15-42.317,E055-20-44.205,CARGO,C39,NONE,E,yes 
C41,N025-15-49.777,E055-20-20.378,CARGO,NONE,C42,E,yes 
C42,N025-15-48.459,E055-20-22.774,CARGO,C41,NONE,E,yes 
C43,N025-15-46.486,E055-20-25.176,CARGO,NONE,C44,E,yes 
C44,N025-15-44.477,E055-20-23.808,CARGO,C43,C45,E,yes 
C45,N025-15-42.461,E055-20-22.452,CARGO,C44,C46,E,yes 
C46,N025-15-39.396,E055-20-20.397,CARGO,C45,C47,E,yes 
C47,N025-15-35.386,E055-20-21.821,CARGO,C46,NONE,E,yes 
C48,N025-15-32.995,E055-20-24.453,PAX,NONE,C49,E,no 
C49,N025-15-34.748,E055-20-25.623,PAX,C48,C50,E,no 
C50,N025-15-36.482,E055-20-26.805,PAX,C49,C51,E,no 
C51,N025-15-37.697,E055-20-28.761,PAX,C50,C52,E,no 
C52,N025-15-36.865,E055-20-31.022,PAX,C51,C53,E,no 
C53,N025-15-35.599,E055-20-33.223,PAX,C52,C54,E,no 
C54,N025-15-33.833,E055-20-36.473,PAX,C53,C55,E,no 
C55,N025-15-32.202,E055-20-39.452,PAX,C54,C56,E,no 
C56,N025-15-30.623,E055-20-42.363,PAX,C55,C57,E,no 
C57,N025-15-29.448,E055-20-44.431,PAX,C56,C58,E,no 
C58,N025-15-28.214,E055-20-46.668,PAX,C57,C59,E,no 
C59,N025-15-26.997,E055-20-48.892,PAX,C58,C60,E,no 
C60,N025-15-25.827,E055-20-51.048,PAX,C59,C61,E,no 
C61,N025-15-24.364,E055-20-52.614,PAX,C60,C62,E,no 
C62,N025-15-22.416,E055-20-52.117,PAX,C61,C63,E,no 
C63,N025-15-20.651,E055-20-51.024,PAX,C62,C64,E,no 
C64,N025-15-18.917,E055-20-49.904,PAX,C63,NONE,E,no 
D1,N025-14-39.713,E055-22-07.332,UAE,A1,D2,F,yes 
D2,N025-14-37.453,E055-22-09.488,UAE,D1,D3,F,yes 
D3,N025-14-35.913,E055-22-12.417,UAE,D2,D4,F,yes 
D4,N025-14-34.125,E055-22-15.522,UAE,D3,D5,F,yes 
D5,N025-14-32.654,E055-22-18.159,UAE,D4,D6,F,yes 
D6,N025-14-31.160,E055-22-20.908,UAE,D5,D7,F,yes 
D7,N025-14-29.798,E055-22-23.419,UAE,D6,D8,F,yes 
D8,N025-14-28.232,E055-22-26.132,UAE,D7,D9,F,yes 
D9,N025-14-26.623,E055-22-29.467,UAE,D8,D10,F,yes 
D10,N025-14-28.963,E055-22-31.985,UAE,D9,A10,F,yes 
E1,N025-16-05.114,E055-21-05.291,CLC,NONE,E2,E,yes 
E2,N025-16-03.880,E055-21-07.518,CLC,E1,E3,E,yes 
E3,N025-16-02.627,E055-21-09.766,CLC,E2,E4,E,yes 
